node,lon,lat
1,114.124456,22.284502
2,114.125668,22.279051
3,114.128878,22.274865
4,114.133367,22.290534
5,114.13335,22.284327
6,114.133401,22.277582
7,114.147604,22.291782
8,114.14687,22.287106
9,114.146255,22.27973
10,114.143097,22.273996
11,114.146381,22.257189
12,114.164932,22.287256
13,114.159476,22.277576
14,114.155917,22.272574
15,114.15741,22.265945
16,114.175655,22.285659
17,114.174873,22.278862
18,114.173352,22.272573
19,114.171727,22.266326
20,114.185117,22.285453
21,114.187572,22.276069
22,114.192252,22.259916
23,114.195078,22.296949
24,114.209445,22.29572
25,114.206757,22.287587
26,114.223165,22.289474
27,114.222264,22.276778
28,114.1537573,22.29855892
29,114.1539725,22.31220914
30,114.163926,22.31233398
31,114.1633862,22.29860894
32,114.1778478,22.3041499
33,114.1730414,22.30808095
34,114.1789065,22.29373435
35,114.1661241,22.29108609
36,114.1793415,22.30910506
37,114.1736579,22.31415862
38,114.1743354,22.32681225
39,114.1640956,22.3263059
40,114.1660502,22.31878611
41,114.1607352,22.31808682
42,114.1517724,22.32153351
43,114.155863,22.32628159
44,114.1585935,22.34366795
45,114.1466355,22.34113625
46,114.142402,22.32815682
47,114.1481386,22.32513765
48,114.1608001,22.34105608
49,114.1641979,22.33913808
50,114.1684353,22.34319874
51,114.1784069,22.34517351
52,114.1784253,22.32727012
53,114.1729115,22.31998629
54,114.1856191,22.3249245
55,114.1908271,22.32765095
56,114.1846513,22.34364761
57,114.1905602,22.34739182
58,114.2048677,22.33481923
59,114.2113943,22.34026834
60,114.2085955,22.34727972
61,114.1975732,22.35536303
62,114.2206471,22.32510918
63,114.2100294,22.31334457
64,114.2012039,22.32089287
65,114.2189841,22.30507208
66,114.2215894,22.3054824
67,114.2259475,22.31841144
68,114.2154092,22.30193928
69,114.19575,22.3193864
70,114.1949505,22.31057896
71,114.1852127,22.31472059
72,114.1926702,22.29900009
73,113.95631,22.37419
74,113.97239,22.37027
75,113.98845,22.37954
76,113.98378,22.40512
77,113.96638,22.40442
78,114.01748,22.35453
79,114.02008,22.36724
80,113.95281,22.35578
81,114.0884,22.37238
82,114.09054,22.36557
83,113.91293,22.37315
84,113.90903,22.405
85,113.94073,22.42769
86,113.92374,22.3939
87,113.95877,22.40554
88,113.97297,22.42644
89,113.99378,22.42149
90,113.98544,22.43971
91,114.0043,22.43176
92,113.99842,22.44576
93,114.00911,22.45138
94,114.00099,22.47312
95,113.99376,22.45912
96,114.00821,22.46213
97,114.01547,22.43759
98,114.0177,22.44588
99,114.02608,22.45527
100,114.01676,22.4647
101,114.02813,22.46829
102,114.03934,22.44738
103,114.0416,22.43285
104,114.04387,22.42234
105,114.01699,22.41239
106,114.04817,22.40574
107,114.06729,22.41132
108,114.10415,22.43124
109,114.09957,22.45618
110,114.00903,22.37789
111,114.07092,22.51556
112,114.09165,22.5033
113,113.94713,22.48686
114,114.01219,22.4872
115,114.1104,22.36034
116,114.12141,22.32378
117,114.07836,22.32616
118,114.07901,22.36082
119,114.14324,22.32096
120,114.13368,22.35708
121,114.14362,22.36867
122,114.1368,22.38379
123,114.10553,22.53201
124,114.1154,22.50231
125,114.1128,22.46476
126,114.12751,22.53873
127,114.14882,22.50255
128,114.15408,22.481
129,114.17739,22.55515
130,114.18525,22.52203
131,114.16707,22.5006
132,114.22581,22.54417
133,114.24471,22.48195
134,114.1994,22.43628
135,114.1626,22.42796
136,114.1381,22.45104
137,114.21205,22.41044
138,114.22029,22.42377
139,114.19166,22.41606
140,114.21968,22.4043
141,114.21854,22.3796
142,114.17213,22.35642
143,114.15605,22.37745
144,114.22741,22.39939
145,114.26069,22.43352
146,114.23704,22.43631
147,114.23279,22.35489
148,114.25418,22.34977
149,114.27487,22.35472
150,114.29934,22.39877
151,114.32193,22.2634
152,114.27266,22.2575
153,114.24267,22.28584
154,114.12328,22.3697
155,114.11757,22.36283
156,114.1265,22.31661
157,114.14408,22.25258
158,114.13814,22.24646
159,114.11358,22.28035
160,114.18812,22.25435
161,114.18603,22.23086
162,114.14647,22.23451
163,114.22133,22.23058
164,114.22401,22.19848
165,114.20133,22.19591
166,114.25515,22.26401
167,114.23376,22.25451
168,114.25354,22.21245
169,114.19809,22.26345
170,113.8464,22.25329
171,113.94637,22.21488
172,114.07668,22.28402
173,114.06678,22.34946
174,113.88487,22.22092
